scenario,real_time_plot,extrude_speed_slider,extrude_angle_slider,extrude_length_slider,down_length_slider,down_speed_slider,delay_after_down,shear_length,shear_speed,delay_after_shear,back_speed,moving_speed,moving_step_angle,time_delay,variable1,variable3,search_start,search_end,ground_height,extrude_back_speed
leg,True,1.0,0.0,5.0,4.0,1.0,3.0,17.0,1.0,0.0,1.0,10.0,5.0,0.0,18.0,0.0,18.0,27.0,20.6,2.0
time,toeforce_x,toeforce_y,toeforce_x_loadcell,toeforce_yloadcell,toe_position_x,toe_position_y,toe_velocity_x,toe_velocity_y,position,position1,torque,torque1,theta command,length command,state flag,current
0.004506349563598633,-0.18031065165996552,-1.363429307937622,0.0,0.0,-0.0006281327223405242,-0.20857377350330353,0.0,0.0,-0.34552917247124065,-0.31378057321464575,-0.05800473317503929,0.09352625161409378,0.0,0.0,0.0,0.0
0.0128631591796875,-0.15302680432796478,-1.3134982585906982,0.0,0.0,-0.0005860990495420992,-0.2085513472557068,0.0,0.0,-0.34552917247124065,-0.31378057321464575,6.984919309616089e-07,0.001973239704966545,0.0,0.0,0.0,0.0
0.014869928359985352,-0.15302680432796478,-1.3134982585906982,0.0,0.0,-0.0005860990495420992,-0.2085513472557068,0.0,0.0,-0.34552917247124065,-0.31378057321464575,6.984919309616089e-07,0.001973239704966545,0.0,0.0,0.0,0.0
0.016463518142700195,-0.15302680432796478,-1.3134982585906982,0.0,0.0,-0.0005860990495420992,-0.2085513472557068,0.0,0.0,-0.3458024221617585,-0.3142311753897493,-0.002774437889456749,0.005091754719614983,0.0,0.0,0.0,0.0
0.019095182418823242,-0.1815502792596817,-1.3660143613815308,0.0,0.0,-0.0006051226519048214,-0.2085614949464798,0.0,0.0,-0.3464112067429371,-0.3154919064871171,-0.00758106866851449,0.018910467624664307,0.0,0.0,0.0,0.0
0.02162313461303711,-0.1815502792596817,-1.3660143613815308,0.0,0.0,-0.0006051226519048214,-0.2085614949464798,0.0,0.0,-0.3471733987655799,-0.31627806695957067,-0.06952199339866638,0.0796373039484024,0.0,0.0,0.0,0.0
0.023598670959472656,-0.1815502792596817,-1.3660143613815308,0.0,0.0,-0.0006051226519048214,-0.2085614949464798,0.0,0.0,-0.3471733987655799,-0.31627806695957067,-0.06952199339866638,0.0796373039484024,0.0,0.0,0.0,0.0
0.027331829071044922,-0.1815502792596817,-1.3660143613815308,0.0,0.0,-0.0006051226519048214,-0.2085614949464798,0.0,0.0,-0.34752815054812985,-0.31750045789991704,-0.06688985228538513,0.08287028223276138,0.0,0.0,0.0,0.0
0.03233838081359863,-0.17433471977710724,-1.3524744510650635,0.0,0.0,-0.0006206615944392979,-0.20856976509094238,0.0,0.0,-0.34752815054812985,-0.317519651385117,-0.06477269530296326,0.07972310483455658,0.0,0.0,0.0,0.0
0.035321950912475586,-0.17433471977710724,-1.3524744510650635,0.0,0.0,-0.0006206615944392979,-0.20856976509094238,0.0,0.0,-0.3464639420138585,-0.3172176348734885,-0.1066226214170456,0.13155551254749298,0.0,0.0,0.0,0.0
