group1,group2,meandiff,p-adj,lower,upper,reject,effectsize(CohensD)
Airy,High,160.6739,0.0,103.1989,218.149,True,-1.9256131576914017
Airy,Loose,8.9813,0.9782,-50.5111,68.4736,False,-1.5139654434745278
Airy,Moderate,39.1479,0.2967,-19.2772,97.5731,False,-2.7403360251903854
High,Loose,-151.6927,0.0,-211.185,-92.2003,True,1.7551270569861521
High,Moderate,-121.526,0.0,-179.9512,-63.1009,True,1.4143962178234843
Loose,Moderate,30.1667,0.5533,-30.244,90.5774,False,-1.9898746756342476
