group1,group2,meandiff,p-adj,lower,upper,reject,effectsize(CohensD)
100%,25%,11.8644,0.0,5.7059,18.0228,True,-5.081375881224252
100%,50%,1.1756,0.9935,-4.9828,7.3341,False,-0.8940954852534352
100%,75%,-1.2025,0.9928,-7.361,4.956,False,0.8507196860561487
100%,ASTM,36.8256,0.0,30.6672,42.9841,True,-12.892969579082024
100%,SuperSand,67.34,0.0,61.1815,73.4985,True,-6.938502027817728
25%,50%,-10.6888,0.0,-16.8472,-4.5303,True,4.739391153603348
25%,75%,-13.0669,0.0,-19.2253,-6.9084,True,5.646407788113038
25%,ASTM,24.9613,0.0,18.8028,31.1197,True,-7.355658390489686
25%,SuperSand,55.4756,0.0,49.3172,61.6341,True,-5.6168051181171865
50%,75%,-2.3781,0.87,-8.5366,3.7803,False,1.8611230230377853
50%,ASTM,35.65,0.0,29.4915,41.8085,True,-12.770528420872356
50%,SuperSand,66.1644,0.0,60.0059,72.3228,True,-6.830626137930644
75%,ASTM,38.0281,0.0,31.8697,44.1866,True,-13.393134173329715
75%,SuperSand,68.5425,0.0,62.384,74.701,True,-7.066011274128554
ASTM,SuperSand,30.5144,0.0,24.3559,36.6728,True,-3.047536005338884
