Group,Value
1,65.71
1,76.14
1,74.13
1,62.11
1,64.99
1,92.02
1,64.37
1,85.52
1,46.23
1,62.2
1,53.12
1,61.11
1,40.34
1,50.46
1,55.49
1,57.97
2,27.1
2,34.72
2,29.14
2,35.25
2,34.83
2,37.45
2,33.88
2,37.81
2,26.87
2,30.17
2,27.56
2,36.44
2,29.61
2,32.3
2,35.7
2,34.85
