scenario,real_time_plot,extrude_speed_slider,extrude_angle_slider,extrude_length_slider,down_length_slider,down_speed_slider,delay_after_down,shear_length,shear_speed,delay_after_shear,back_speed,moving_speed,moving_step_angle,time_delay,variable1,variable3,search_start,search_end,ground_height,extrude_back_speed
leg,True,1.0,0.0,5.0,4.0,1.0,3.0,17.0,1.0,0.0,1.0,10.0,5.0,0.0,16.6,0.0,17.4,27.0,21.4,2.0
time,toeforce_x,toeforce_y,toeforce_x_loadcell,toeforce_yloadcell,toe_position_x,toe_position_y,toe_velocity_x,toe_velocity_y,position,position1,torque,torque1,theta command,length command,state flag,current
0.005368709564208984,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.3835719006921424,-0.0673564150929451,0.10559507459402084,0.0,0.0,0.0,0.0
0.008375406265258789,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.3835719006921424,-0.0673564150929451,0.10559507459402084,0.0,0.0,0.0,0.0
0.010121822357177734,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.3835719006921424,-0.0673564150929451,0.10559507459402084,0.0,0.0,0.0,0.0
0.011544942855834961,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.3835719006921424,-0.0673564150929451,0.10559507459402084,0.0,0.0,0.0,0.0
0.013154745101928711,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.3835719006921424,-0.0673564150929451,0.10559507459402084,0.0,0.0,0.0,0.0
0.01470494270324707,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.3835719006921424,-0.0673564150929451,0.10559507459402084,0.0,0.0,0.0,0.0
0.01624274253845215,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.3835719006921424,5.587935447692871e-07,1.1175870895385742e-06,0.0,0.0,0.0,0.0
0.017762184143066406,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.3835719006921424,5.587935447692871e-07,1.1175870895385742e-06,0.0,0.0,0.0,0.0
0.019243955612182617,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.383859522089871,5.587935447692871e-07,0.004206849727779627,0.0,0.0,0.0,0.0
0.02074909210205078,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41486512280902305,-0.383859522089871,5.587935447692871e-07,0.004206849727779627,0.0,0.0,0.0,0.0
0.022546768188476562,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.4154211721192802,-0.3851010831087281,-0.004719961434602737,0.01690979301929474,0.0,0.0,0.0,0.0
0.02418375015258789,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.416542914295773,-0.38627073877815304,-0.018023887649178505,0.02689470909535885,0.0,0.0,0.0,0.0
0.02583026885986328,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.416542914295773,-0.38627073877815304,-0.018023887649178505,0.02689470909535885,0.0,0.0,0.0,0.0
0.02776646614074707,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.4174584903531908,-0.38774241095920653,-0.02491878904402256,0.03636474907398224,0.0,0.0,0.0,0.0
0.02984786033630371,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.41866650958632645,-0.38896960027085287,-0.08374717831611633,0.09668126702308655,0.0,0.0,0.0,0.0
0.03266429901123047,-0.181653693318367,-1.539350986480713,0.0,0.0,-0.0006931085954420269,-0.21637654304504395,0.0,0.0,-0.4193472229236264,-0.38965988694406356,-0.08718051016330719,0.09811170399188995,0.0,0.0,0.0,0.0
