Group,Value
0% kaolinite,39.54
0% kaolinite,46.19
0% kaolinite,43.91
0% kaolinite,50.66
0% kaolinite,32.52
0% kaolinite,44.88
0% kaolinite,48.55
0% kaolinite,47.74
0% kaolinite,48.92
0% kaolinite,48.86
0% kaolinite,57.11
0% kaolinite,57.07
0% kaolinite,45.64
0% kaolinite,54.66
0% kaolinite,44.23
0% kaolinite,54.91
25% kaolinite,16.98
25% kaolinite,15.68
25% kaolinite,15.34
25% kaolinite,12.87
25% kaolinite,5.27
25% kaolinite,9.84
25% kaolinite,10.36
25% kaolinite,12.59
25% kaolinite,10.65
25% kaolinite,11.98
25% kaolinite,11.63
25% kaolinite,7.17
25% kaolinite,8.2
25% kaolinite,11.74
25% kaolinite,7.55
25% kaolinite,7.29
50% kaolinite,4.06
50% kaolinite,5.18
50% kaolinite,5.35
50% kaolinite,5.51
50% kaolinite,-1.99
50% kaolinite,8.04
50% kaolinite,1.34
50% kaolinite,8.76
50% kaolinite,5.76
50% kaolinite,3.91
50% kaolinite,6.39
50% kaolinite,8.91
50% kaolinite,6.66
50% kaolinite,7.52
50% kaolinite,4.75
50% kaolinite,6.65
75% kaolinite,-5.12
75% kaolinite,-1.72
75% kaolinite,-1.36
75% kaolinite,-4.25
75% kaolinite,0.02
75% kaolinite,-2.19
75% kaolinite,-2.99
75% kaolinite,4.26
75% kaolinite,3.19
75% kaolinite,-5.58
75% kaolinite,-5.85
75% kaolinite,4.7
75% kaolinite,-5.82
75% kaolinite,1.19
75% kaolinite,2.53
75% kaolinite,-0.03
100% kaolinite,3.11
100% kaolinite,-3.1
100% kaolinite,-6.21
100% kaolinite,-4.33
100% kaolinite,-1.76
100% kaolinite,-3.91
100% kaolinite,-4.71
100% kaolinite,-5.16
100% kaolinite,-4.56
100% kaolinite,-0.66
100% kaolinite,0.97
100% kaolinite,-4.01
100% kaolinite,0.08
100% kaolinite,-4.75
100% kaolinite,-5.22
100% kaolinite,-4.14
